gene,protein,reaction,model
G_103160327,P_103160327,R_AG13T12g,iCHOv1
G_103161689,P_103161689,R_AG13T12g,iCHOv1
G_100751193,P_100751193,R_AG13T13g,iCHOv1
G_100760456,P_100760456,R_AG13T13g,iCHOv1
G_100762253,P_100762253,R_AG13T13g,iCHOv1
G_100766691,P_100766691,R_AG13T13g,iCHOv1
G_100769077,P_100769077,R_AG13T13g,iCHOv1
G_100773213,P_100773213,R_AG13T13g,iCHOv1
G_103160327,P_103160327,R_AG13T13g,iCHOv1
G_103161689,P_103161689,R_AG13T13g,iCHOv1
G_100751193,P_100751193,R_AG13T14g,iCHOv1
G_100760456,P_100760456,R_AG13T14g,iCHOv1
G_100762253,P_100762253,R_AG13T14g,iCHOv1
G_100766691,P_100766691,R_AG13T14g,iCHOv1
G_100769077,P_100769077,R_AG13T14g,iCHOv1
G_100773213,P_100773213,R_AG13T14g,iCHOv1
G_103160327,P_103160327,R_AG13T14g,iCHOv1
G_103161689,P_103161689,R_AG13T14g,iCHOv1
G_100763644,P_100763644,R_ACP1_FMN,iCHOv1
G_100773599,P_100773599,R_ACP1_FMN,iCHOv1
G_100765000,P_100765000,R_ACRNtm,iCHOv1
G_100750893,P_100750893,R_ACS,iCHOv1
G_100752902,P_100752902,R_ACS,iCHOv1
G_100750893,P_100750893,R_ACS2,iCHOv1
G_100752902,P_100752902,R_ACS2,iCHOv1
G_100751193,P_100751193,R_AG13T15g,iCHOv1
G_100760456,P_100760456,R_AG13T15g,iCHOv1
G_100762253,P_100762253,R_AG13T15g,iCHOv1
G_100766691,P_100766691,R_AG13T15g,iCHOv1
G_100769077,P_100769077,R_AG13T15g,iCHOv1
G_100773213,P_100773213,R_AG13T15g,iCHOv1
G_103160327,P_103160327,R_AG13T15g,iCHOv1
G_103161689,P_103161689,R_AG13T15g,iCHOv1
G_100751193,P_100751193,R_AG13T16g,iCHOv1
G_100760456,P_100760456,R_AG13T16g,iCHOv1
G_100762253,P_100762253,R_AG13T16g,iCHOv1
G_100766691,P_100766691,R_AG13T16g,iCHOv1
G_100769077,P_100769077,R_AG13T16g,iCHOv1
G_100773213,P_100773213,R_AG13T16g,iCHOv1
G_103160327,P_103160327,R_AG13T16g,iCHOv1
G_103161689,P_103161689,R_AG13T16g,iCHOv1
G_100769754,P_100769754,R_ACSm,iCHOv1
G_100751193,P_100751193,R_AG13T17g,iCHOv1
G_100760456,P_100760456,R_AG13T17g,iCHOv1
G_100762253,P_100762253,R_AG13T17g,iCHOv1
G_100766691,P_100766691,R_AG13T17g,iCHOv1
G_100769077,P_100769077,R_AG13T17g,iCHOv1
G_100773213,P_100773213,R_AG13T17g,iCHOv1
G_103160327,P_103160327,R_AG13T17g,iCHOv1
G_103161689,P_103161689,R_AG13T17g,iCHOv1
G_100751193,P_100751193,R_AG13T8g,iCHOv1
G_100760456,P_100760456,R_AG13T8g,iCHOv1
G_100762253,P_100762253,R_AG13T8g,iCHOv1
G_100766691,P_100766691,R_AG13T8g,iCHOv1
G_100769077,P_100769077,R_AG13T8g,iCHOv1
G_100773213,P_100773213,R_AG13T8g,iCHOv1
G_103160327,P_103160327,R_AG13T8g,iCHOv1
G_103161689,P_103161689,R_AG13T8g,iCHOv1
G_100751193,P_100751193,R_AG13T18g,iCHOv1
G_100760456,P_100760456,R_AG13T18g,iCHOv1
G_100762253,P_100762253,R_AG13T18g,iCHOv1
G_100766691,P_100766691,R_AG13T18g,iCHOv1
G_100769077,P_100769077,R_AG13T18g,iCHOv1
G_100773213,P_100773213,R_AG13T18g,iCHOv1
G_103160327,P_103160327,R_AG13T18g,iCHOv1
G_103161689,P_103161689,R_AG13T18g,iCHOv1
G_100751193,P_100751193,R_AG13T1g,iCHOv1
G_100760456,P_100760456,R_AG13T1g,iCHOv1
G_100762253,P_100762253,R_AG13T1g,iCHOv1
G_100766691,P_100766691,R_AG13T1g,iCHOv1
G_100769077,P_100769077,R_AG13T1g,iCHOv1
G_100773213,P_100773213,R_AG13T1g,iCHOv1
G_103160327,P_103160327,R_AG13T1g,iCHOv1
G_103161689,P_103161689,R_AG13T1g,iCHOv1
G_100765891,P_100765891,R_ACTLMO,iCHOv1
G_100765891,P_100765891,R_ACTNMO,iCHOv1
G_100751193,P_100751193,R_AG13T9g,iCHOv1
G_100760456,P_100760456,R_AG13T9g,iCHOv1
G_100762253,P_100762253,R_AG13T9g,iCHOv1
G_100766691,P_100766691,R_AG13T9g,iCHOv1
G_100769077,P_100769077,R_AG13T9g,iCHOv1
G_100773213,P_100773213,R_AG13T9g,iCHOv1
G_103160327,P_103160327,R_AG13T9g,iCHOv1
G_103161689,P_103161689,R_AG13T9g,iCHOv1
G_100755378,P_100755378,R_ACYP,iCHOv1
G_100758982,P_100758982,R_ACYP,iCHOv1
G_100751193,P_100751193,R_AG13T2g,iCHOv1
G_100760456,P_100760456,R_AG13T2g,iCHOv1
G_100762253,P_100762253,R_AG13T2g,iCHOv1
G_100766691,P_100766691,R_AG13T2g,iCHOv1
G_100769077,P_100769077,R_AG13T2g,iCHOv1
G_100773213,P_100773213,R_AG13T2g,iCHOv1
G_103160327,P_103160327,R_AG13T2g,iCHOv1
G_103161689,P_103161689,R_AG13T2g,iCHOv1
G_100751193,P_100751193,R_AG13T3g,iCHOv1
G_100760456,P_100760456,R_AG13T3g,iCHOv1
G_100762253,P_100762253,R_AG13T3g,iCHOv1
G_100766691,P_100766691,R_AG13T3g,iCHOv1
G_100769077,P_100769077,R_AG13T3g,iCHOv1
G_100773213,P_100773213,R_AG13T3g,iCHOv1
G_103160327,P_103160327,R_AG13T3g,iCHOv1
G_103161689,P_103161689,R_AG13T3g,iCHOv1
G_100751193,P_100751193,R_AG13T4g,iCHOv1
G_100760456,P_100760456,R_AG13T4g,iCHOv1
G_100762253,P_100762253,R_AG13T4g,iCHOv1
G_100766691,P_100766691,R_AG13T4g,iCHOv1
G_100769077,P_100769077,R_AG13T4g,iCHOv1
G_100773213,P_100773213,R_AG13T4g,iCHOv1
G_103160327,P_103160327,R_AG13T4g,iCHOv1
G_103161689,P_103161689,R_AG13T4g,iCHOv1
G_100775004,P_100775004,R_ACt2m,iCHOv1
G_100756769,P_100756769,R_ACt2r,iCHOv1
G_100768407,P_100768407,R_ACt2r,iCHOv1
G_100772122,P_100772122,R_ACt2r,iCHOv1
G_100775004,P_100775004,R_ACt2r,iCHOv1
G_100751193,P_100751193,R_AG13T5g,iCHOv1
G_100760456,P_100760456,R_AG13T5g,iCHOv1
G_100762253,P_100762253,R_AG13T5g,iCHOv1
G_100766691,P_100766691,R_AG13T5g,iCHOv1
G_100769077,P_100769077,R_AG13T5g,iCHOv1
G_100773213,P_100773213,R_AG13T5g,iCHOv1
G_103160327,P_103160327,R_AG13T5g,iCHOv1
G_103161689,P_103161689,R_AG13T5g,iCHOv1
G_100751193,P_100751193,R_AG13T6g,iCHOv1
G_100760456,P_100760456,R_AG13T6g,iCHOv1
G_100762253,P_100762253,R_AG13T6g,iCHOv1
G_100766691,P_100766691,R_AG13T6g,iCHOv1
G_100769077,P_100769077,R_AG13T6g,iCHOv1
G_100773213,P_100773213,R_AG13T6g,iCHOv1
G_103160327,P_103160327,R_AG13T6g,iCHOv1
G_103161689,P_103161689,R_AG13T6g,iCHOv1
G_100771907,P_100771907,R_AGDC,iCHOv1
G_100754504,P_100754504,R_ALAtN1,iCHOv1
G_100767098,P_100767098,R_ALAtN1,iCHOv1
G_100756254,P_100756254,R_ADA,iCHOv1
G_100756254,P_100756254,R_ADAe,iCHOv1
G_100754792,P_100754792,R_ADEt,iCHOv1
G_100761966,P_100761966,R_ADEt,iCHOv1
G_100767453,P_100767453,R_ADEtl,iCHOv1
G_100756617,P_100756617,R_ALCD1,iCHOv1
G_100759210,P_100759210,R_ALCD1,iCHOv1
G_100760081,P_100760081,R_ALCD1,iCHOv1
G_100767633,P_100767633,R_ALCD1,iCHOv1
G_100773005,P_100773005,R_ALCD1,iCHOv1
G_100752880,P_100752880,R_ADK1,iCHOv1
G_100758717,P_100758717,R_ADK1,iCHOv1
G_100759346,P_100759346,R_ADK1,iCHOv1
G_100760489,P_100760489,R_ADK1,iCHOv1
G_100761703,P_100761703,R_ADK1,iCHOv1
G_100767050,P_100767050,R_ADK1,iCHOv1
G_100774576,P_100774576,R_ADK1,iCHOv1
G_100755987,P_100755987,R_ADK1m,iCHOv1
G_100756723,P_100756723,R_ADK1m,iCHOv1
G_100760312,P_100760312,R_ADK1m,iCHOv1
G_100774512,P_100774512,R_ADK1m,iCHOv1
G_100760489,P_100760489,R_ADK3,iCHOv1
G_100761703,P_100761703,R_ADK3,iCHOv1
G_100767050,P_100767050,R_ADK3,iCHOv1
G_100756617,P_100756617,R_ALCD21_D,iCHOv1
G_100759210,P_100759210,R_ALCD21_D,iCHOv1
G_100760081,P_100760081,R_ALCD21_D,iCHOv1
G_100764101,P_100764101,R_ALCD21_D,iCHOv1
G_100767061,P_100767061,R_ALCD21_D,iCHOv1
G_100767633,P_100767633,R_ALCD21_D,iCHOv1
G_100767929,P_100767929,R_ALCD21_D,iCHOv1
G_100773005,P_100773005,R_ALCD21_D,iCHOv1
G_100760312,P_100760312,R_ADK3m,iCHOv1
G_100756617,P_100756617,R_LCARS,iCHOv1
G_100759210,P_100759210,R_LCARS,iCHOv1
G_100760081,P_100760081,R_LCARS,iCHOv1
G_100764101,P_100764101,R_LCARS,iCHOv1
G_100767061,P_100767061,R_LCARS,iCHOv1
G_100767633,P_100767633,R_LCARS,iCHOv1
G_100767929,P_100767929,R_LCARS,iCHOv1
G_100773005,P_100773005,R_LCARS,iCHOv1
G_100756617,P_100756617,R_ALCD22_D,iCHOv1
G_100759210,P_100759210,R_ALCD22_D,iCHOv1
G_100760081,P_100760081,R_ALCD22_D,iCHOv1
G_100764101,P_100764101,R_ALCD22_D,iCHOv1
G_100767061,P_100767061,R_ALCD22_D,iCHOv1
G_100767633,P_100767633,R_ALCD22_D,iCHOv1
G_100767929,P_100767929,R_ALCD22_D,iCHOv1
G_100773005,P_100773005,R_ALCD22_D,iCHOv1
G_100758717,P_100758717,R_ADKd,iCHOv1
G_100774596,P_100774596,R_ADMDC,iCHOv1
G_100751372,P_100751372,R_ADNCYC,iCHOv1
G_100756132,P_100756132,R_ADNCYC,iCHOv1
G_100764561,P_100764561,R_ADNCYC,iCHOv1
G_100765958,P_100765958,R_ADNCYC,iCHOv1
G_100767272,P_100767272,R_ADNCYC,iCHOv1
G_100768368,P_100768368,R_ADNCYC,iCHOv1
G_100768998,P_100768998,R_ADNCYC,iCHOv1
G_100770498,P_100770498,R_ADNCYC,iCHOv1
G_100773811,P_100773811,R_ADNCYC,iCHOv1
G_103158658,P_103158658,R_ADNCYC,iCHOv1
G_103162985,P_103162985,R_ADNCYC,iCHOv1
G_100736551,P_100736551,R_ADNK1,iCHOv1
G_100756617,P_100756617,R_ALCD22_L,iCHOv1
G_100759210,P_100759210,R_ALCD22_L,iCHOv1
G_100760081,P_100760081,R_ALCD22_L,iCHOv1
G_100764101,P_100764101,R_ALCD22_L,iCHOv1
G_100767061,P_100767061,R_ALCD22_L,iCHOv1
G_100767633,P_100767633,R_ALCD22_L,iCHOv1
G_100767929,P_100767929,R_ALCD22_L,iCHOv1
G_100773005,P_100773005,R_ALCD22_L,iCHOv1
G_100756617,P_100756617,R_ALCD2x,iCHOv1
G_100760081,P_100760081,R_ALCD2x,iCHOv1
G_100767061,P_100767061,R_ALCD2x,iCHOv1
G_100767633,P_100767633,R_ALCD2x,iCHOv1
G_100756617,P_100756617+100760081,R_ALCD2x,iCHOv1
G_100760081,P_100756617+100760081,R_ALCD2x,iCHOv1
G_100736551,P_100736551,R_ADNK1n,iCHOv1
G_100689106,P_100689106,R_ALCD2y,iCHOv1
G_100752066,P_100752066,R_AGMTm,iCHOv1
G_100751939,P_100751939,R_AGPAT1_cho,iCHOv1
G_100757875,P_100757875,R_AGPAT1_cho,iCHOv1
G_100758206,P_100758206,R_AGPAT1_cho,iCHOv1
G_100761743,P_100761743,R_AGPAT1_cho,iCHOv1
G_100763383,P_100763383,R_AGPAT1_cho,iCHOv1
G_100751303,P_100751303,R_ALDD19xr,iCHOv1
G_100755596,P_100755596,R_ALDD19xr,iCHOv1
G_100756470,P_100756470,R_ALDD19xr,iCHOv1
G_100756509,P_100756509,R_ALDD19xr,iCHOv1
G_100757371,P_100757371,R_ALDD19xr,iCHOv1
G_100757658,P_100757658,R_ALDD19xr,iCHOv1
G_100758951,P_100758951,R_ALDD19xr,iCHOv1
G_100761706,P_100761706,R_ALDD19xr,iCHOv1
G_100763332,P_100763332,R_ALDD19xr,iCHOv1
G_100768227,P_100768227,R_ALDD19xr,iCHOv1
G_100768367,P_100768367,R_ALDD19xr,iCHOv1
G_100768654,P_100768654,R_ALDD19xr,iCHOv1
G_100772304,P_100772304,R_ALDD19xr,iCHOv1
G_100755596,P_100755596,R_ALDD19x_P,iCHOv1
G_100756470,P_100756470,R_ALDD19x_P,iCHOv1
G_100757371,P_100757371,R_ALDD19x_P,iCHOv1
G_100757658,P_100757658,R_ALDD19x_P,iCHOv1
G_100763332,P_100763332,R_ALDD19x_P,iCHOv1
G_100768227,P_100768227,R_ALDD19x_P,iCHOv1
G_100756809,P_100756809,R_AGPSx_cho,iCHOv1
G_100753688,P_100753688,R_AGTim,iCHOv1
G_100759906,P_100759906,R_AGTim,iCHOv1
G_100765516,P_100765516,R_ALDD20xm,iCHOv1
G_100772225,P_100772225,R_ALDD20xm,iCHOv1
G_100757658,P_100757658,R_ALDD21,iCHOv1
G_100771278,P_100771278,R_AGTix,iCHOv1
G_100755596,P_100755596,R_ALDD2x,iCHOv1
G_100756470,P_100756470,R_ALDD2x,iCHOv1
G_100756509,P_100756509,R_ALDD2x,iCHOv1
G_100757371,P_100757371,R_ALDD2x,iCHOv1
G_100757658,P_100757658,R_ALDD2x,iCHOv1
G_100758951,P_100758951,R_ALDD2x,iCHOv1
G_100761706,P_100761706,R_ALDD2x,iCHOv1
G_100763332,P_100763332,R_ALDD2x,iCHOv1
G_100768227,P_100768227,R_ALDD2x,iCHOv1
G_100768367,P_100768367,R_ALDD2x,iCHOv1
G_100768654,P_100768654,R_ALDD2x,iCHOv1
G_100772304,P_100772304,R_ALDD2x,iCHOv1
G_100765516,P_100765516,R_ALDD2xm,iCHOv1
G_100772225,P_100772225,R_ALDD2xm,iCHOv1
G_100689208,P_100689208,R_AHANDROSTANGLCte,iCHOv1
G_100755596,P_100755596,R_ALDD2y,iCHOv1
G_100756470,P_100756470,R_ALDD2y,iCHOv1
G_100757371,P_100757371,R_ALDD2y,iCHOv1
G_100757658,P_100757658,R_ALDD2y,iCHOv1
G_100758951,P_100758951,R_ALDD2y,iCHOv1
G_100763332,P_100763332,R_ALDD2y,iCHOv1
G_100772304,P_100772304,R_ALDD2y,iCHOv1
G_100751196,P_100751196,R_ALKP,iCHOv1
G_100751774,P_100751774,R_ALKP,iCHOv1
G_100771587,P_100771587,R_ALKP,iCHOv1
G_100764620,P_100764620,R_ALOX12,iCHOv1
G_100761707,P_100761707,R_ALOX12R,iCHOv1
G_100754473,P_100754473,R_ALOX15,iCHOv1
G_100764916,P_100764916,R_ALOX15,iCHOv1
G_100772492,P_100772492,R_ALOX5,iCHOv1
G_100772492,P_100772492,R_ALOX52,iCHOv1
G_100751272,P_100751272,R_ALR,iCHOv1
G_100759648,P_100759648,R_APRTO2,iCHOv1
G_100760815,P_100760815,R_APRTO2,iCHOv1
G_100750969,P_100750969,R_AHCi,iCHOv1
G_100754476,P_100754476,R_AHCi,iCHOv1
G_100767631,P_100767631,R_AHCi,iCHOv1
G_100689318,P_100689318,R_ARABR,iCHOv1
G_100751272,P_100751272,R_ARABR,iCHOv1
G_100757262,P_100757262,R_ARABR,iCHOv1
G_100758120,P_100758120,R_ARABR,iCHOv1
G_100689106,P_100689106,R_ALR2,iCHOv1
G_100751272,P_100751272,R_ALR2,iCHOv1
G_100751755,P_100751755,R_ALR2,iCHOv1
G_100762166,P_100762166,R_ARACHCPT1,iCHOv1
G_100767138,P_100767138,R_ARACHCPT1,iCHOv1
G_100770034,P_100770034,R_ARACHCPT1,iCHOv1
G_100766757,P_100766757,R_ARACHCPT2,iCHOv1
G_100765000,P_100765000,R_ARACHCRNt,iCHOv1
G_100689106,P_100689106,R_ALR3,iCHOv1
G_100751272,P_100751272,R_ALR3,iCHOv1
G_100751755,P_100751755,R_ALR3,iCHOv1
G_100766043,P_100766043,R_AMACR2p,iCHOv1
G_100758278,P_100758278,R_AMACRp,iCHOv1
G_100689450,P_100689450,R_AMANK,iCHOv1
G_100758117,P_100758117,R_AMANK,iCHOv1
G_100765075,P_100765075,R_ARD,iCHOv1
G_100689315,P_100689315+100760403,R_ARGLYSex,iCHOv1
G_100760403,P_100689315+100760403,R_ARGLYSex,iCHOv1
G_100750727,P_100750727,R_ARGN,iCHOv1
G_100760459,P_100760459,R_ARGNm,iCHOv1
G_100769239,P_100769239,R_AMETt2m,iCHOv1
G_100750552,P_100750552,R_AHEXASE2ly,iCHOv1
G_100756663,P_100756663,R_AHEXASE2ly,iCHOv1
G_100756951,P_100756951,R_AHEXASE2ly,iCHOv1
G_100766960,P_100766960,R_AHEXASE2ly,iCHOv1
G_100750552,P_100750552+100756663,R_AHEXASE2ly,iCHOv1
G_100756663,P_100750552+100756663,R_AHEXASE2ly,iCHOv1
G_100750552,P_100750552+100756951,R_AHEXASE2ly,iCHOv1
G_100756951,P_100750552+100756951,R_AHEXASE2ly,iCHOv1
G_100750552,P_100750552+100766960,R_AHEXASE2ly,iCHOv1
G_100766960,P_100750552+100766960,R_AHEXASE2ly,iCHOv1
G_100756687,P_100756687,R_ARGSL,iCHOv1
G_100762274,P_100762274,R_ARGSS,iCHOv1
G_100751194,P_100751194,R_ARGt4,iCHOv1
G_100757901,P_100757901,R_AMPDA,iCHOv1
G_100758386,P_100758386,R_AMPDA,iCHOv1
G_100774910,P_100774910,R_AMPDA,iCHOv1
G_100750552,P_100750552,R_AHEXASEly,iCHOv1
G_100756663,P_100756663,R_AHEXASEly,iCHOv1
G_100756951,P_100756951,R_AHEXASEly,iCHOv1
G_100766960,P_100766960,R_AHEXASEly,iCHOv1
G_100750552,P_100750552+100756663,R_AHEXASEly,iCHOv1
G_100756663,P_100750552+100756663,R_AHEXASEly,iCHOv1
G_100750552,P_100750552+100756951,R_AHEXASEly,iCHOv1
G_100756951,P_100750552+100756951,R_AHEXASEly,iCHOv1
G_100750552,P_100750552+100766960,R_AHEXASEly,iCHOv1
G_100766960,P_100750552+100766960,R_AHEXASEly,iCHOv1
G_100751632,P_100751632,R_AMPTASECG,iCHOv1
G_100751632,P_100751632,R_AMPTASECGe,iCHOv1
G_100750895,P_100750895,R_AICART,iCHOv1
G_100689176,P_100689176,R_ARGt5r,iCHOv1
G_100771829,P_100771829,R_ARGt5r,iCHOv1
G_100772617,P_100772617,R_ARGt5r,iCHOv1
G_100758204,P_100758204,R_ARGtm,iCHOv1
G_100773024,P_100773024,R_ARGtm,iCHOv1
G_100754567,P_100754567,R_ARSA_cho,iCHOv1
G_100767312,P_100767312,R_ENOPH,iCHOv1
G_100766318,P_100766318,R_AMY1e,iCHOv1
G_100767001,P_100767001,R_AMY1e,iCHOv1
G_100766318,P_100766318,R_AMY2e,iCHOv1
G_100767001,P_100767001,R_AMY2e,iCHOv1
G_100689208,P_100689208,R_ANDRSTRNGLCte,iCHOv1
G_100769146,P_100769146,R_AP4AH1,iCHOv1
G_100765485,P_100765485,R_APAT2rm,iCHOv1
G_100758991,P_100758991,R_AIRCr,iCHOv1
G_100757803,P_100757803,R_ASCBt5,iCHOv1
G_100761922,P_100761922,R_ASCBt5,iCHOv1
G_100689437,P_100689437+100758466+100764862,R_AKGDm,iCHOv1
G_100758466,P_100689437+100758466+100764862,R_AKGDm,iCHOv1
G_100764862,P_100689437+100758466+100764862,R_AKGDm,iCHOv1
G_100689437,P_100689437+100758466+100769436,R_AKGDm,iCHOv1
G_100758466,P_100689437+100758466+100769436,R_AKGDm,iCHOv1
G_100769436,P_100689437+100758466+100769436,R_AKGDm,iCHOv1
G_100763902,P_100763902,R_ASNALANaEx,iCHOv1
G_100763902,P_100763902,R_ASNCYSNaEx,iCHOv1
G_100770598,P_100770598,R_AKGMALtm,iCHOv1
G_100763902,P_100763902,R_ASNGLNNaEx,iCHOv1
G_100754434,P_100754434,R_ASNN,iCHOv1
G_100754434,P_100754434,R_ASNNm,iCHOv1
G_100689315,P_100689315+100770731,R_ASNPHELAT2tc,iCHOv1
G_100770731,P_100689315+100770731,R_ASNPHELAT2tc,iCHOv1
G_100760225,P_100760225,R_ASNS1,iCHOv1
G_100750672,P_100750672,R_AKGt4_3,iCHOv1
G_100763902,P_100763902,R_ASNSERNaEx,iCHOv1
G_100689351,P_100689351,R_ASNTHRNaEx,iCHOv1
G_100763902,P_100763902,R_ASNTHRNaEx,iCHOv1
G_100689188,P_100689188,R_ASNt4,iCHOv1
G_100751194,P_100751194,R_ASNt4,iCHOv1
G_100758864,P_100758864,R_ASNt4,iCHOv1
G_100762288,P_100762288,R_ASNt4,iCHOv1
G_100762871,P_100762871,R_ASNt4,iCHOv1
G_100769158,P_100769158,R_ASNt4,iCHOv1
G_100769511,P_100769511,R_ASNt4,iCHOv1
G_100769795,P_100769795,R_ASNt4,iCHOv1
G_100754504,P_100754504,R_ASNtN1,iCHOv1
G_100767098,P_100767098,R_ASNtN1,iCHOv1
G_100757642,P_100757642,R_ASP1DC,iCHOv1
G_100765882,P_100765882,R_ASP1DC,iCHOv1
G_100689232,P_100689232,R_ASPCT,iCHOv1
G_100770100,P_100770100,R_AKR1C1,iCHOv1
G_100689464,P_100689464,R_ASPDt6,iCHOv1
G_100752285,P_100752285,R_ASPDt6,iCHOv1
G_100760895,P_100760895,R_ASPDt6,iCHOv1
G_100767052,P_100767052,R_ASPDt6,iCHOv1
G_100770833,P_100770833,R_ASPDt6,iCHOv1
G_100766212,P_100766212,R_ASPGLUm,iCHOv1
G_100768097,P_100768097,R_ASPGLUm,iCHOv1
G_100769399,P_100769399,R_ASPNATm,iCHOv1
G_100753207,P_100753207,R_ASPO1,iCHOv1
G_100773063,P_100773063,R_ASPO1,iCHOv1
G_100770100,P_100770100,R_AKR1C41,iCHOv1
G_100689351,P_100689351,R_ASPPROASCT1,iCHOv1
G_100771068,P_100771068,R_ASAH1_cho,iCHOv1
G_100770100,P_100770100,R_AKR1C42,iCHOv1
G_100750547,P_100750547,R_ASPTA,iCHOv1
G_100762297,P_100762297,R_ASPTA,iCHOv1
G_100762838,P_100762838,R_ASPTAm,iCHOv1
G_100770348,P_100770348,R_AKR1D,iCHOv1
G_100689464,P_100689464,R_ASPt6,iCHOv1
G_100752285,P_100752285,R_ASPt6,iCHOv1
G_100760895,P_100760895,R_ASPt6,iCHOv1
G_100767052,P_100767052,R_ASPt6,iCHOv1
G_100770833,P_100770833,R_ASPt6,iCHOv1
G_100770348,P_100770348,R_AKR1D2,iCHOv1
G_s0001,P_s0001,R_CRTNsyn_cho,iCHOv1
G_100751454,P_100751454,R_ATPH1e,iCHOv1
G_100762593,P_100762593,R_ATPH1e,iCHOv1
G_100765414,P_100765414,R_ATPH1e,iCHOv1
G_100771642,P_100771642,R_ATPH1e,iCHOv1
G_100772668,P_100772668,R_ATPH1e,iCHOv1
G_100751454,P_100751454,R_ATPH2e,iCHOv1
G_100762593,P_100762593,R_ATPH2e,iCHOv1
G_100765414,P_100765414,R_ATPH2e,iCHOv1
G_100771642,P_100771642,R_ATPH2e,iCHOv1
G_100772668,P_100772668,R_ATPH2e,iCHOv1
G_100752739,P_100752739+100756936+100757815+100760824+100763024+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100756936,P_100752739+100756936+100757815+100760824+100763024+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100757815,P_100752739+100756936+100757815+100760824+100763024+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100760824,P_100752739+100756936+100757815+100760824+100763024+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100763024,P_100752739+100756936+100757815+100760824+100763024+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100766302,P_100752739+100756936+100757815+100760824+100763024+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100770431,P_100752739+100756936+100757815+100760824+100763024+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100771541,P_100752739+100756936+100757815+100760824+100763024+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100774535,P_100752739+100756936+100757815+100760824+100763024+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_103160361,P_100752739+100756936+100757815+100760824+100763024+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_3979187,P_100752739+100756936+100757815+100760824+100763024+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_3979188,P_100752739+100756936+100757815+100760824+100763024+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100752739,P_100752739+100756936+100757815+100763024+100766108+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100756936,P_100752739+100756936+100757815+100763024+100766108+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100757815,P_100752739+100756936+100757815+100763024+100766108+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100763024,P_100752739+100756936+100757815+100763024+100766108+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100766108,P_100752739+100756936+100757815+100763024+100766108+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100766302,P_100752739+100756936+100757815+100763024+100766108+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100770431,P_100752739+100756936+100757815+100763024+100766108+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100771541,P_100752739+100756936+100757815+100763024+100766108+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100774535,P_100752739+100756936+100757815+100763024+100766108+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_103160361,P_100752739+100756936+100757815+100763024+100766108+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_3979187,P_100752739+100756936+100757815+100763024+100766108+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_3979188,P_100752739+100756936+100757815+100763024+100766108+100766302+100770431+100771541+100774535+103160361+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100752739,P_100752739+100756936+100757815+100763024+100766302+100770431+100771541+100774535+103160361+103162776+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100756936,P_100752739+100756936+100757815+100763024+100766302+100770431+100771541+100774535+103160361+103162776+3979187+3979188,R_ATPS4m_cho,iCHOv1
G_100757815,P_100752739+100756936+100757815+100763024+100766302+100770431+100771541+100774535+103160361+103162776+3979187+3979188,R_ATPS4m_cho,iCHOv1
