gene,protein,reaction,model
G_ABAYE_RS13930,P_ABAYE_RS13930,R_ADSK,iCN718
G_ABAYE_RS16330,P_ABAYE_RS16330,R_ACKr,iCN718
G_ABAYE_RS13930,P_ABAYE_RS13930+ABAYE_RS13935,R_SADT,iCN718
G_ABAYE_RS13935,P_ABAYE_RS13930+ABAYE_RS13935,R_SADT,iCN718
G_ABAYE_RS10490,P_ABAYE_RS10490,R_MALS,iCN718
G_ABAYE_RS05715,P_ABAYE_RS05715,R_LGTHL,iCN718
G_ABAYE_RS07555,P_ABAYE_RS07555,R_ACONT,iCN718
G_ABAYE_RS16085,P_ABAYE_RS16085,R_ACONT,iCN718
G_ABAYE_RS18810,P_ABAYE_RS18810,R_ACONT,iCN718
G_ABAYE_RS02275,P_ABAYE_RS02275,R_GDH1,iCN718
G_ABAYE_RS13810,P_ABAYE_RS13810,R_GDH1,iCN718
G_ABAYE_RS04435,P_ABAYE_RS04435,R_AKGDa,iCN718
G_ABAYE_RS06135,P_ABAYE_RS06135,R_PTAr,iCN718
G_ABAYE_RS16335,P_ABAYE_RS16335,R_PTAr,iCN718
G_ABAYE_RS06135,P_ABAYE_RS06135,R_PTA2,iCN718
G_ABAYE_RS16335,P_ABAYE_RS16335,R_PTA2,iCN718
G_ABAYE_RS00705,P_ABAYE_RS00705,R_PPC,iCN718
G_ABAYE_RS06135,P_ABAYE_RS06135,R_ME1,iCN718
G_ABAYE_RS18525,P_ABAYE_RS18525,R_ME1,iCN718
G_ABAYE_RS06135,P_ABAYE_RS06135,R_ME2,iCN718
G_ABAYE_RS18525,P_ABAYE_RS18525,R_ME2,iCN718
G_ABAYE_RS05415,P_ABAYE_RS05415,R_ICDHyr,iCN718
G_ABAYE_RS05425,P_ABAYE_RS05425,R_ICDHyr,iCN718
G_ABAYE_RS04440,P_ABAYE_RS04440,R_AKGDb,iCN718
G_ABAYE_RS02855,P_ABAYE_RS02855,R_MDH,iCN718
G_ABAYE_RS03690,P_ABAYE_RS03690,R_ACACT1r,iCN718
G_ABAYE_RS03735,P_ABAYE_RS03735,R_ACACT1r,iCN718
G_ABAYE_RS09825,P_ABAYE_RS09825,R_ACACT1r,iCN718
G_ABAYE_RS11665,P_ABAYE_RS11665,R_ACACT1r,iCN718
G_ABAYE_RS02275,P_ABAYE_RS02275,R_GLUDy,iCN718
G_ABAYE_RS13810,P_ABAYE_RS13810,R_GLUDy,iCN718
G_ABAYE_RS18840,P_ABAYE_RS18840,R_LDH_L,iCN718
G_ABAYE_RS04450,P_ABAYE_RS04450+ABAYE_RS04455,R_SUCOAS,iCN718
G_ABAYE_RS04455,P_ABAYE_RS04450+ABAYE_RS04455,R_SUCOAS,iCN718
G_ABAYE_RS02095,P_ABAYE_RS02095,R_IPDPS,iCN718
G_ABAYE_RS08160,P_ABAYE_RS08160,R_FUM,iCN718
G_ABAYE_RS16340,P_ABAYE_RS16340,R_FUM,iCN718
G_ABAYE_RS04415,P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430,R_FRD2,iCN718
G_ABAYE_RS04420,P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430,R_FRD2,iCN718
G_ABAYE_RS04425,P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430,R_FRD2,iCN718
G_ABAYE_RS04430,P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430,R_FRD2,iCN718
G_ABAYE_RS04415,P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430,R_FRD3,iCN718
G_ABAYE_RS04420,P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430,R_FRD3,iCN718
G_ABAYE_RS04425,P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430,R_FRD3,iCN718
G_ABAYE_RS04430,P_ABAYE_RS04415+ABAYE_RS04420+ABAYE_RS04425+ABAYE_RS04430,R_FRD3,iCN718
G_ABAYE_RS07230,P_ABAYE_RS07230,R_GLYOX,iCN718
G_ABAYE_RS09945,P_ABAYE_RS09945,R_GLYOX,iCN718
G_ABAYE_RS04095,P_ABAYE_RS04095,R_PAPSR,iCN718
G_ABAYE_RS15510,P_ABAYE_RS15510,R_RPE,iCN718
G_ABAYE_RS08575,P_ABAYE_RS08575,R_RPI,iCN718
G_ABAYE_RS14305,P_ABAYE_RS14305,R_DMALRED,iCN718
G_ABAYE_RS10795,P_ABAYE_RS10795,R_TKT1,iCN718
G_ABAYE_RS14080,P_ABAYE_RS14080+ABAYE_RS14085,R_TKT1,iCN718
G_ABAYE_RS14085,P_ABAYE_RS14080+ABAYE_RS14085,R_TKT1,iCN718
G_ABAYE_RS11295,P_ABAYE_RS11295,R_MCOATA,iCN718
G_ABAYE_RS14920,P_ABAYE_RS14920,R_MCOATA,iCN718
G_ABAYE_RS10795,P_ABAYE_RS10795,R_TKT2,iCN718
G_ABAYE_RS14080,P_ABAYE_RS14080+ABAYE_RS14085,R_TKT2,iCN718
G_ABAYE_RS14085,P_ABAYE_RS14080+ABAYE_RS14085,R_TKT2,iCN718
G_ABAYE_RS07915,P_ABAYE_RS07915,R_TALA,iCN718
G_ABAYE_RS16320,P_ABAYE_RS16320,R_EDA,iCN718
G_ABAYE_RS16380,P_ABAYE_RS16380,R_IPPS,iCN718
G_ABAYE_RS16310,P_ABAYE_RS16310,R_GNK,iCN718
G_ABAYE_RS03715,P_ABAYE_RS03715,R_SULR,iCN718
G_ABAYE_RS03975,P_ABAYE_RS03975,R_SULR,iCN718
G_ABAYE_RS16325,P_ABAYE_RS16325,R_EDD,iCN718
G_ABAYE_RS12850,P_ABAYE_RS12850,R_ACOATA,iCN718
G_ABAYE_RS18865,P_ABAYE_RS18865,R_UDPGD,iCN718
G_ABAYE_RS08395,P_ABAYE_RS08395,R_FRUK,iCN718
G_ABAYE_RS18215,P_ABAYE_RS18215,R_FCLPA,iCN718
G_ABAYE_RS04630,P_ABAYE_RS04630,R_PEPCK_re,iCN718
G_ABAYE_RS13900,P_ABAYE_RS13900,R_ICL,iCN718
G_ABAYE_RS18870,P_ABAYE_RS18870,R_GALUi,iCN718
G_ABAYE_RS08155,P_ABAYE_RS08155,R_UDPG4E,iCN718
G_ABAYE_RS18875,P_ABAYE_RS18875,R_UDPG4E,iCN718
G_ABAYE_RS14990,P_ABAYE_RS14990,R_TRE6PS,iCN718
G_ABAYE_RS14985,P_ABAYE_RS14985,R_TRE6PP,iCN718
G_ABAYE_RS04780,P_ABAYE_RS04780,R_FDH,iCN718
G_ABAYE_RS00960,P_ABAYE_RS00960,R_PGLYCP,iCN718
G_ABAYE_RS14895,P_ABAYE_RS14895,R_PGLYCP,iCN718
G_ABAYE_RS16760,P_ABAYE_RS16760,R_PGLYCP,iCN718
G_ABAYE_RS17405,P_ABAYE_RS17405,R_PGLYCP,iCN718
G_ABAYE_RS19015,P_ABAYE_RS19015,R_PGLYCP,iCN718
G_ABAYE_RS09240,P_ABAYE_RS09240,R_TRSARr,iCN718
G_ABAYE_RS00990,P_ABAYE_RS00990,R_GF6PTA,iCN718
G_ABAYE_RS14760,P_ABAYE_RS14760,R_TARTRDH,iCN718
G_ABAYE_RS05795,P_ABAYE_RS05795,R_RDXR,iCN718
G_ABAYE_RS13965,P_ABAYE_RS13965,R_RDXR,iCN718
G_ABAYE_RS14180,P_ABAYE_RS14180,R_RDXR,iCN718
